Friday, 1, 0, 31, Indoor_Motion, Contact, OPEN
Friday, 7, 12, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 15, 17, Indoor_Motion, Contact, OPEN
Friday, 7, 15, 19, Indoor_Motion, Contact, CLOSED
Friday, 7, 17, 0, Indoor_Motion, Contact, OPEN
Friday, 7, 17, 3, Indoor_Motion, Contact, CLOSED
Friday, 7, 17, 14, Indoor_Motion, Contact, OPEN
Friday, 7, 17, 19, Indoor_Motion, Contact, CLOSED
Friday, 7, 18, 37, Indoor_Motion, Contact, OPEN
Friday, 7, 18, 41, Indoor_Motion, Contact, CLOSED
Friday, 7, 18, 47, Indoor_Motion, Contact, OPEN
Friday, 7, 18, 50, Indoor_Motion, Contact, CLOSED
Friday, 7, 19, 30, Indoor_Motion, Contact, OPEN
Friday, 7, 19, 31, Indoor_Motion, Contact, CLOSED
Friday, 7, 20, 3, Indoor_Motion, Contact, OPEN
Friday, 7, 20, 5, Indoor_Motion, Contact, CLOSED
Friday, 7, 20, 29, Indoor_Motion, Contact, OPEN
Friday, 7, 20, 31, Indoor_Motion, Contact, CLOSED
Friday, 7, 24, 0, Indoor_Motion, Contact, OPEN
Friday, 7, 24, 2, Indoor_Motion, Contact, CLOSED
Friday, 7, 26, 32, Indoor_Motion, Contact, OPEN
Friday, 7, 26, 36, Indoor_Motion, Contact, CLOSED
Friday, 7, 30, 31, Indoor_Motion, Contact, OPEN
Friday, 7, 30, 32, Indoor_Motion, Contact, CLOSED
Friday, 7, 30, 50, Indoor_Motion, Contact, OPEN
Friday, 7, 30, 51, Indoor_Motion, Contact, CLOSED
Friday, 7, 35, 46, Indoor_Motion, Contact, OPEN
Friday, 7, 35, 48, Indoor_Motion, Contact, CLOSED
Friday, 7, 36, 7, Indoor_Motion, Contact, OPEN
Friday, 7, 36, 10, Indoor_Motion, Contact, CLOSED
Friday, 7, 36, 35, Window, Contact, OPEN
Friday, 7, 38, 7, Back_Door, Contact, OPEN
Friday, 7, 38, 9, Indoor_Motion, Contact, OPEN
Friday, 7, 38, 14, Indoor_Motion, Contact, CLOSED
Friday, 7, 38, 17, Indoor_Motion, Contact, OPEN
Friday, 7, 38, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 38, 31, Indoor_Motion, Contact, OPEN
Friday, 7, 38, 33, Indoor_Motion, Contact, CLOSED
Friday, 7, 38, 34, Indoor_Motion, Contact, OPEN
Friday, 7, 38, 37, Indoor_Motion, Contact, CLOSED
Friday, 7, 38, 43, Indoor_Motion, Contact, OPEN
Friday, 7, 38, 44, Indoor_Motion, Contact, CLOSED
Friday, 7, 38, 48, Indoor_Motion, Contact, OPEN
Friday, 7, 38, 52, Indoor_Motion, Contact, CLOSED
Friday, 7, 38, 56, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 1, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 12, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 14, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 15, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 18, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 19, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 25, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 28, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 32, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 35, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 41, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 46, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 53, Indoor_Motion, Contact, OPEN
Friday, 7, 39, 56, Indoor_Motion, Contact, CLOSED
Friday, 7, 39, 59, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 0, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 4, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 5, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 6, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 8, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 13, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 15, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 22, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 27, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 30, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 35, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 36, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 39, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 41, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 46, Indoor_Motion, Contact, CLOSED
Friday, 7, 40, 51, Indoor_Motion, Contact, OPEN
Friday, 7, 40, 55, Indoor_Motion, Contact, CLOSED
Friday, 7, 41, 11, Indoor_Motion, Contact, OPEN
Friday, 7, 41, 15, Indoor_Motion, Contact, CLOSED
Friday, 7, 41, 20, Indoor_Motion, Contact, OPEN
Friday, 7, 41, 24, Indoor_Motion, Contact, CLOSED
Friday, 7, 41, 25, Indoor_Motion, Contact, OPEN
Friday, 7, 41, 27, Indoor_Motion, Contact, CLOSED
Friday, 7, 41, 33, Indoor_Motion, Contact, OPEN
Friday, 7, 41, 38, Indoor_Motion, Contact, CLOSED
Friday, 7, 41, 40, Indoor_Motion, Contact, OPEN
Friday, 7, 41, 43, Indoor_Motion, Contact, CLOSED
Friday, 7, 41, 48, Indoor_Motion, Contact, OPEN
Friday, 7, 41, 53, Indoor_Motion, Contact, CLOSED
Friday, 7, 42, 4, Indoor_Motion, Contact, OPEN
Friday, 7, 42, 9, Indoor_Motion, Contact, CLOSED
Friday, 7, 42, 24, Indoor_Motion, Contact, OPEN
Friday, 7, 42, 26, Indoor_Motion, Contact, CLOSED
Friday, 7, 42, 30, Indoor_Motion, Contact, OPEN
Friday, 7, 42, 35, Indoor_Motion, Contact, CLOSED
Friday, 7, 42, 41, Indoor_Motion, Contact, OPEN
Friday, 7, 42, 43, Indoor_Motion, Contact, CLOSED
Friday, 7, 42, 53, Indoor_Motion, Contact, OPEN
Friday, 7, 42, 56, Indoor_Motion, Contact, CLOSED
Friday, 7, 42, 58, Indoor_Motion, Contact, OPEN
Friday, 7, 43, 2, Indoor_Motion, Contact, CLOSED
Friday, 7, 43, 5, Indoor_Motion, Contact, OPEN
Friday, 7, 43, 10, Indoor_Motion, Contact, CLOSED
Friday, 7, 43, 18, Indoor_Motion, Contact, OPEN
Friday, 7, 43, 19, Indoor_Motion, Contact, CLOSED
Friday, 7, 43, 20, Indoor_Motion, Contact, OPEN
Friday, 7, 43, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 43, 40, Indoor_Motion, Contact, OPEN
Friday, 7, 43, 41, Indoor_Motion, Contact, CLOSED
Friday, 7, 43, 42, Indoor_Motion, Contact, OPEN
Friday, 7, 43, 46, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 6, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 7, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 20, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 25, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 26, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 30, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 34, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 35, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 36, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 40, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 42, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 45, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 48, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 49, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 53, Indoor_Motion, Contact, OPEN
Friday, 7, 44, 55, Indoor_Motion, Contact, CLOSED
Friday, 7, 44, 59, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 4, Indoor_Motion, Contact, CLOSED
Friday, 7, 45, 6, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 11, Indoor_Motion, Contact, CLOSED
Friday, 7, 45, 15, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 20, Indoor_Motion, Contact, CLOSED
Friday, 7, 45, 37, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 40, Indoor_Motion, Contact, CLOSED
Friday, 7, 45, 47, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 50, Indoor_Motion, Contact, CLOSED
Friday, 7, 45, 51, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 55, Indoor_Motion, Contact, CLOSED
Friday, 7, 45, 57, Indoor_Motion, Contact, OPEN
Friday, 7, 45, 58, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 1, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 4, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 6, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 11, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 17, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 26, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 27, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 28, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 31, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 33, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 35, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 46, Indoor_Motion, Contact, OPEN
Friday, 7, 46, 48, Indoor_Motion, Contact, CLOSED
Friday, 7, 46, 58, Indoor_Motion, Contact, OPEN
Friday, 7, 47, 1, Indoor_Motion, Contact, CLOSED
Friday, 7, 47, 3, Indoor_Motion, Contact, OPEN
Friday, 7, 47, 5, Indoor_Motion, Contact, CLOSED
Friday, 7, 47, 7, Indoor_Motion, Contact, OPEN
Friday, 7, 47, 12, Indoor_Motion, Contact, CLOSED
Friday, 7, 47, 22, Indoor_Motion, Contact, OPEN
Friday, 7, 47, 27, Indoor_Motion, Contact, CLOSED
Friday, 7, 47, 31, Indoor_Motion, Contact, OPEN
Friday, 7, 47, 33, Indoor_Motion, Contact, CLOSED
Friday, 7, 47, 39, Indoor_Motion, Contact, OPEN
Friday, 7, 47, 43, Indoor_Motion, Contact, CLOSED
Friday, 7, 47, 58, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 1, Indoor_Motion, Contact, CLOSED
Friday, 7, 48, 6, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 7, Indoor_Motion, Contact, CLOSED
Friday, 7, 48, 22, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 23, Indoor_Motion, Contact, CLOSED
Friday, 7, 48, 25, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 29, Indoor_Motion, Contact, CLOSED
Friday, 7, 48, 30, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 31, Indoor_Motion, Contact, CLOSED
Friday, 7, 48, 41, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 44, Indoor_Motion, Contact, CLOSED
Friday, 7, 48, 46, Indoor_Motion, Contact, OPEN
Friday, 7, 48, 50, Indoor_Motion, Contact, CLOSED
Friday, 7, 49, 7, Indoor_Motion, Contact, OPEN
Friday, 7, 49, 9, Indoor_Motion, Contact, CLOSED
Friday, 7, 49, 15, Indoor_Motion, Contact, OPEN
Friday, 7, 49, 18, Indoor_Motion, Contact, CLOSED
Friday, 7, 49, 35, Indoor_Motion, Contact, OPEN
Friday, 7, 49, 40, Indoor_Motion, Contact, CLOSED
Friday, 7, 49, 41, Indoor_Motion, Contact, OPEN
Friday, 7, 49, 42, Indoor_Motion, Contact, CLOSED
Friday, 7, 49, 44, Indoor_Motion, Contact, OPEN
Friday, 7, 49, 49, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 2, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 5, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 6, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 10, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 13, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 18, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 20, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 23, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 24, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 26, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 38, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 41, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 45, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 49, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 50, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 52, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 56, Indoor_Motion, Contact, OPEN
Friday, 7, 50, 58, Indoor_Motion, Contact, CLOSED
Friday, 7, 50, 59, Indoor_Motion, Contact, OPEN
Friday, 7, 51, 2, Indoor_Motion, Contact, CLOSED
Friday, 7, 51, 9, Indoor_Motion, Contact, OPEN
Friday, 7, 51, 12, Indoor_Motion, Contact, CLOSED
Friday, 7, 51, 25, Indoor_Motion, Contact, OPEN
Friday, 7, 51, 30, Indoor_Motion, Contact, CLOSED
Friday, 7, 51, 36, Indoor_Motion, Contact, OPEN
Friday, 7, 51, 38, Indoor_Motion, Contact, CLOSED
Friday, 7, 51, 41, Indoor_Motion, Contact, OPEN
Friday, 7, 51, 44, Indoor_Motion, Contact, CLOSED
Friday, 7, 51, 48, Indoor_Motion, Contact, OPEN
Friday, 7, 51, 52, Indoor_Motion, Contact, CLOSED
Friday, 7, 51, 56, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 0, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 5, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 7, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 9, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 10, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 11, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 16, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 19, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 27, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 32, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 38, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 42, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 43, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 47, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 49, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 54, Indoor_Motion, Contact, CLOSED
Friday, 7, 52, 55, Indoor_Motion, Contact, OPEN
Friday, 7, 52, 56, Indoor_Motion, Contact, CLOSED
Friday, 7, 53, 11, Indoor_Motion, Contact, OPEN
Friday, 7, 53, 16, Indoor_Motion, Contact, CLOSED
Friday, 7, 53, 28, Indoor_Motion, Contact, OPEN
Friday, 7, 53, 30, Indoor_Motion, Contact, CLOSED
Friday, 7, 53, 36, Indoor_Motion, Contact, OPEN
Friday, 7, 53, 40, Indoor_Motion, Contact, CLOSED
Friday, 7, 53, 53, Indoor_Motion, Contact, OPEN
Friday, 7, 53, 56, Indoor_Motion, Contact, CLOSED
Friday, 7, 53, 58, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 1, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 10, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 11, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 20, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 25, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 27, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 28, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 35, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 39, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 42, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 47, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 49, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 50, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 51, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 54, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 55, Indoor_Motion, Contact, OPEN
Friday, 7, 54, 56, Indoor_Motion, Contact, CLOSED
Friday, 7, 54, 58, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 1, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 4, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 5, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 7, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 10, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 16, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 18, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 19, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 22, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 27, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 29, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 37, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 41, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 45, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 47, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 48, Indoor_Motion, Contact, OPEN
Friday, 7, 55, 53, Indoor_Motion, Contact, CLOSED
Friday, 7, 55, 59, Indoor_Motion, Contact, OPEN
Friday, 7, 56, 4, Indoor_Motion, Contact, CLOSED
Friday, 7, 56, 5, Indoor_Motion, Contact, OPEN
Friday, 7, 56, 9, Indoor_Motion, Contact, CLOSED
Friday, 7, 56, 10, Indoor_Motion, Contact, OPEN
Friday, 7, 56, 11, Indoor_Motion, Contact, CLOSED
Friday, 7, 56, 18, Indoor_Motion, Contact, OPEN
Friday, 7, 56, 23, Indoor_Motion, Contact, CLOSED
Friday, 7, 56, 27, Indoor_Motion, Contact, OPEN
Friday, 7, 56, 28, Indoor_Motion, Contact, CLOSED
Friday, 7, 57, 18, Indoor_Motion, Contact, OPEN
Friday, 7, 57, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 57, 22, Indoor_Motion, Contact, OPEN
Friday, 7, 57, 24, Indoor_Motion, Contact, CLOSED
Friday, 7, 57, 30, Indoor_Motion, Contact, OPEN
Friday, 7, 57, 35, Indoor_Motion, Contact, CLOSED
Friday, 7, 57, 38, Indoor_Motion, Contact, OPEN
Friday, 7, 57, 39, Indoor_Motion, Contact, CLOSED
Friday, 7, 57, 42, Indoor_Motion, Contact, OPEN
Friday, 7, 57, 44, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 0, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 1, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 9, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 13, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 18, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 20, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 21, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 25, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 30, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 33, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 43, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 45, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 51, Indoor_Motion, Contact, OPEN
Friday, 7, 58, 55, Indoor_Motion, Contact, CLOSED
Friday, 7, 58, 57, Indoor_Motion, Contact, OPEN
Friday, 7, 59, 0, Indoor_Motion, Contact, CLOSED
Friday, 7, 59, 20, Indoor_Motion, Contact, OPEN
Friday, 7, 59, 21, Indoor_Motion, Contact, CLOSED
Friday, 7, 59, 27, Indoor_Motion, Contact, OPEN
Friday, 7, 59, 29, Indoor_Motion, Contact, CLOSED
Friday, 7, 59, 45, Indoor_Motion, Contact, OPEN
Friday, 7, 59, 48, Indoor_Motion, Contact, CLOSED
Friday, 7, 59, 54, Indoor_Motion, Contact, OPEN
Friday, 7, 59, 58, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 16, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 17, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 25, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 30, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 31, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 36, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 37, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 40, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 41, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 42, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 44, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 46, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 47, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 50, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 53, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 54, Indoor_Motion, Contact, CLOSED
Friday, 8, 0, 57, Indoor_Motion, Contact, OPEN
Friday, 8, 0, 59, Indoor_Motion, Contact, CLOSED
Friday, 8, 1, 10, Indoor_Motion, Contact, OPEN
Friday, 8, 1, 12, Indoor_Motion, Contact, CLOSED
Friday, 8, 1, 22, Indoor_Motion, Contact, OPEN
Friday, 8, 1, 25, Indoor_Motion, Contact, CLOSED
Friday, 8, 1, 29, Indoor_Motion, Contact, OPEN
Friday, 8, 1, 30, Indoor_Motion, Contact, CLOSED
Friday, 8, 1, 31, Indoor_Motion, Contact, OPEN
Friday, 8, 1, 32, Indoor_Motion, Contact, CLOSED
Friday, 8, 1, 45, Indoor_Motion, Contact, OPEN
Friday, 8, 1, 47, Indoor_Motion, Contact, CLOSED
Friday, 8, 1, 52, Indoor_Motion, Contact, OPEN
Friday, 8, 1, 56, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 6, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 9, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 16, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 17, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 18, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 22, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 27, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 30, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 32, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 36, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 38, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 40, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 42, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 46, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 53, Indoor_Motion, Contact, OPEN
Friday, 8, 2, 55, Indoor_Motion, Contact, CLOSED
Friday, 8, 2, 58, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 3, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 9, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 13, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 14, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 15, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 17, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 21, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 22, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 25, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 27, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 32, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 33, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 37, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 42, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 45, Indoor_Motion, Contact, CLOSED
Friday, 8, 3, 54, Indoor_Motion, Contact, OPEN
Friday, 8, 3, 57, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 11, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 14, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 19, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 20, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 29, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 34, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 35, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 36, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 38, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 39, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 40, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 42, Indoor_Motion, Contact, CLOSED
Friday, 8, 4, 51, Indoor_Motion, Contact, OPEN
Friday, 8, 4, 56, Indoor_Motion, Contact, CLOSED
Friday, 8, 5, 3, Indoor_Motion, Contact, OPEN
Friday, 8, 5, 4, Indoor_Motion, Contact, CLOSED
Friday, 8, 5, 14, Indoor_Motion, Contact, OPEN
